english_title,new_hymnal_numbers,old_hymnal_numbers,recommended_manual_query,youtube_search,google_search,hymns_for_worship_search,hymncds_search,notes
'Tis Almost Time for the Lord to Come,210,210,"""'Tis Almost Time for the Lord to Come"" instrumental accompaniment SDA Hymnal",https://www.youtube.com/results?search_query=%22%27Tis+Almost+Time+for+the+Lord+to+Come%22+instrumental+accompaniment+SDA+Hymnal,https://www.google.com/search?q=%22%27Tis+Almost+Time+for+the+Lord+to+Come%22+instrumental+accompaniment+SDA+Hymnal,https://shop.hymnsforworship.org/?q=%27Tis+Almost+Time+for+the+Lord+to+Come,https://www.hymncds.com/search?type=product&q=%27Tis+Almost+Time+for+the+Lord+to+Come,Use accompaniment/instrumental only. Verify license before download or app redistribution.
'Tis Shining Still,282,282,"""'Tis Shining Still"" instrumental accompaniment SDA Hymnal",https://www.youtube.com/results?search_query=%22%27Tis+Shining+Still%22+instrumental+accompaniment+SDA+Hymnal,https://www.google.com/search?q=%22%27Tis+Shining+Still%22+instrumental+accompaniment+SDA+Hymnal,https://shop.hymnsforworship.org/?q=%27Tis+Shining+Still,https://www.hymncds.com/search?type=product&q=%27Tis+Shining+Still,Use accompaniment/instrumental only. Verify license before download or app redistribution.
'Tis So Sweet to Trust In Jesus,298,111,"""'Tis So Sweet to Trust In Jesus"" instrumental accompaniment SDA Hymnal",https://www.youtube.com/results?search_query=%22%27Tis+So+Sweet+to+Trust+In+Jesus%22+instrumental+accompaniment+SDA+Hymnal,https://www.google.com/search?q=%22%27Tis+So+Sweet+to+Trust+In+Jesus%22+instrumental+accompaniment+SDA+Hymnal,https://shop.hymnsforworship.org/?q=%27Tis+So+Sweet+to+Trust+In+Jesus,https://www.hymncds.com/search?type=product&q=%27Tis+So+Sweet+to+Trust+In+Jesus,Use accompaniment/instrumental only. Verify license before download or app redistribution.
'Tis the Blessed Hour of Prayer,,62,"""'Tis the Blessed Hour of Prayer"" instrumental accompaniment SDA Hymnal",https://www.youtube.com/results?search_query=%22%27Tis+the+Blessed+Hour+of+Prayer%22+instrumental+accompaniment+SDA+Hymnal,https://www.google.com/search?q=%22%27Tis+the+Blessed+Hour+of+Prayer%22+instrumental+accompaniment+SDA+Hymnal,https://shop.hymnsforworship.org/?q=%27Tis+the+Blessed+Hour+of+Prayer,https://www.hymncds.com/search?type=product&q=%27Tis+the+Blessed+Hour+of+Prayer,Use accompaniment/instrumental only. Verify license before download or app redistribution.
'Tis the Blessed of Prayer,62,,"""'Tis the Blessed of Prayer"" instrumental accompaniment SDA Hymnal",https://www.youtube.com/results?search_query=%22%27Tis+the+Blessed+of+Prayer%22+instrumental+accompaniment+SDA+Hymnal,https://www.google.com/search?q=%22%27Tis+the+Blessed+of+Prayer%22+instrumental+accompaniment+SDA+Hymnal,https://shop.hymnsforworship.org/?q=%27Tis+the+Blessed+of+Prayer,https://www.hymncds.com/search?type=product&q=%27Tis+the+Blessed+of+Prayer,Use accompaniment/instrumental only. Verify license before download or app redistribution.
A Child Is Born,,288,"""A Child Is Born"" instrumental accompaniment SDA Hymnal",https://www.youtube.com/results?search_query=%22A+Child+Is+Born%22+instrumental+accompaniment+SDA+Hymnal,https://www.google.com/search?q=%22A+Child+Is+Born%22+instrumental+accompaniment+SDA+Hymnal,https://shop.hymnsforworship.org/?q=A+Child+Is+Born,https://www.hymncds.com/search?type=product&q=A+Child+Is+Born,Use accompaniment/instrumental only. Verify license before download or app redistribution.
A Child of the King,244,244,"""A Child of the King"" instrumental accompaniment SDA Hymnal",https://www.youtube.com/results?search_query=%22A+Child+of+the+King%22+instrumental+accompaniment+SDA+Hymnal,https://www.google.com/search?q=%22A+Child+of+the+King%22+instrumental+accompaniment+SDA+Hymnal,https://shop.hymnsforworship.org/?q=A+Child+of+the+King,https://www.hymncds.com/search?type=product&q=A+Child+of+the+King,Use accompaniment/instrumental only. Verify license before download or app redistribution.
A Christmas Morning,287,287,"""A Christmas Morning"" instrumental accompaniment SDA Hymnal",https://www.youtube.com/results?search_query=%22A+Christmas+Morning%22+instrumental+accompaniment+SDA+Hymnal,https://www.google.com/search?q=%22A+Christmas+Morning%22+instrumental+accompaniment+SDA+Hymnal,https://shop.hymnsforworship.org/?q=A+Christmas+Morning,https://www.hymncds.com/search?type=product&q=A+Christmas+Morning,Use accompaniment/instrumental only. Verify license before download or app redistribution.
A Christmas Song,284,284,"""A Christmas Song"" instrumental accompaniment SDA Hymnal",https://www.youtube.com/results?search_query=%22A+Christmas+Song%22+instrumental+accompaniment+SDA+Hymnal,https://www.google.com/search?q=%22A+Christmas+Song%22+instrumental+accompaniment+SDA+Hymnal,https://shop.hymnsforworship.org/?q=A+Christmas+Song,https://www.hymncds.com/search?type=product&q=A+Christmas+Song,Use accompaniment/instrumental only. Verify license before download or app redistribution.
A Few More Years Shall Roll,226,226,"""A Few More Years Shall Roll"" instrumental accompaniment SDA Hymnal",https://www.youtube.com/results?search_query=%22A+Few+More+Years+Shall+Roll%22+instrumental+accompaniment+SDA+Hymnal,https://www.google.com/search?q=%22A+Few+More+Years+Shall+Roll%22+instrumental+accompaniment+SDA+Hymnal,https://shop.hymnsforworship.org/?q=A+Few+More+Years+Shall+Roll,https://www.hymncds.com/search?type=product&q=A+Few+More+Years+Shall+Roll,Use accompaniment/instrumental only. Verify license before download or app redistribution.
A Little Talk With Jesus,,200,"""A Little Talk With Jesus"" instrumental accompaniment SDA Hymnal",https://www.youtube.com/results?search_query=%22A+Little+Talk+With+Jesus%22+instrumental+accompaniment+SDA+Hymnal,https://www.google.com/search?q=%22A+Little+Talk+With+Jesus%22+instrumental+accompaniment+SDA+Hymnal,https://shop.hymnsforworship.org/?q=A+Little+Talk+With+Jesus,https://www.hymncds.com/search?type=product&q=A+Little+Talk+With+Jesus,Use accompaniment/instrumental only. Verify license before download or app redistribution.
A Mighty Fortress is Our God,11,11,"""A Mighty Fortress is Our God"" instrumental accompaniment SDA Hymnal",https://www.youtube.com/results?search_query=%22A+Mighty+Fortress+is+Our+God%22+instrumental+accompaniment+SDA+Hymnal,https://www.google.com/search?q=%22A+Mighty+Fortress+is+Our+God%22+instrumental+accompaniment+SDA+Hymnal,https://shop.hymnsforworship.org/?q=A+Mighty+Fortress+is+Our+God,https://www.hymncds.com/search?type=product&q=A+Mighty+Fortress+is+Our+God,Use accompaniment/instrumental only. Verify license before download or app redistribution.
A Song of Heaven and Homeland,238,,"""A Song of Heaven and Homeland"" instrumental accompaniment SDA Hymnal",https://www.youtube.com/results?search_query=%22A+Song+of+Heaven+and+Homeland%22+instrumental+accompaniment+SDA+Hymnal,https://www.google.com/search?q=%22A+Song+of+Heaven+and+Homeland%22+instrumental+accompaniment+SDA+Hymnal,https://shop.hymnsforworship.org/?q=A+Song+of+Heaven+and+Homeland,https://www.hymncds.com/search?type=product&q=A+Song+of+Heaven+and+Homeland,Use accompaniment/instrumental only. Verify license before download or app redistribution.
A Wonderful Saviour in Jesus My Lord,,142,"""A Wonderful Saviour in Jesus My Lord"" instrumental accompaniment SDA Hymnal",https://www.youtube.com/results?search_query=%22A+Wonderful+Saviour+in+Jesus+My+Lord%22+instrumental+accompaniment+SDA+Hymnal,https://www.google.com/search?q=%22A+Wonderful+Saviour+in+Jesus+My+Lord%22+instrumental+accompaniment+SDA+Hymnal,https://shop.hymnsforworship.org/?q=A+Wonderful+Saviour+in+Jesus+My+Lord,https://www.hymncds.com/search?type=product&q=A+Wonderful+Saviour+in+Jesus+My+Lord,Use accompaniment/instrumental only. Verify license before download or app redistribution.
A Wonderful Saviour is Jesus My Lord,143,,"""A Wonderful Saviour is Jesus My Lord"" instrumental accompaniment SDA Hymnal",https://www.youtube.com/results?search_query=%22A+Wonderful+Saviour+is+Jesus+My+Lord%22+instrumental+accompaniment+SDA+Hymnal,https://www.google.com/search?q=%22A+Wonderful+Saviour+is+Jesus+My+Lord%22+instrumental+accompaniment+SDA+Hymnal,https://shop.hymnsforworship.org/?q=A+Wonderful+Saviour+is+Jesus+My+Lord,https://www.hymncds.com/search?type=product&q=A+Wonderful+Saviour+is+Jesus+My+Lord,Use accompaniment/instrumental only. Verify license before download or app redistribution.
Abide With Me,37,37,"""Abide With Me"" instrumental accompaniment SDA Hymnal",https://www.youtube.com/results?search_query=%22Abide+With+Me%22+instrumental+accompaniment+SDA+Hymnal,https://www.google.com/search?q=%22Abide+With+Me%22+instrumental+accompaniment+SDA+Hymnal,https://shop.hymnsforworship.org/?q=Abide+With+Me,https://www.hymncds.com/search?type=product&q=Abide+With+Me,Use accompaniment/instrumental only. Verify license before download or app redistribution.
All Hail the Power of Jesus' Name,,5,"""All Hail the Power of Jesus' Name"" instrumental accompaniment SDA Hymnal",https://www.youtube.com/results?search_query=%22All+Hail+the+Power+of+Jesus%27+Name%22+instrumental+accompaniment+SDA+Hymnal,https://www.google.com/search?q=%22All+Hail+the+Power+of+Jesus%27+Name%22+instrumental+accompaniment+SDA+Hymnal,https://shop.hymnsforworship.org/?q=All+Hail+the+Power+of+Jesus%27+Name,https://www.hymncds.com/search?type=product&q=All+Hail+the+Power+of+Jesus%27+Name,Use accompaniment/instrumental only. Verify license before download or app redistribution.
All Hail the Power of Jseus Name,5,,"""All Hail the Power of Jseus Name"" instrumental accompaniment SDA Hymnal",https://www.youtube.com/results?search_query=%22All+Hail+the+Power+of+Jseus+Name%22+instrumental+accompaniment+SDA+Hymnal,https://www.google.com/search?q=%22All+Hail+the+Power+of+Jseus+Name%22+instrumental+accompaniment+SDA+Hymnal,https://shop.hymnsforworship.org/?q=All+Hail+the+Power+of+Jseus+Name,https://www.hymncds.com/search?type=product&q=All+Hail+the+Power+of+Jseus+Name,Use accompaniment/instrumental only. Verify license before download or app redistribution.
All is Vanity,122,207,"""All is Vanity"" instrumental accompaniment SDA Hymnal",https://www.youtube.com/results?search_query=%22All+is+Vanity%22+instrumental+accompaniment+SDA+Hymnal,https://www.google.com/search?q=%22All+is+Vanity%22+instrumental+accompaniment+SDA+Hymnal,https://shop.hymnsforworship.org/?q=All+is+Vanity,https://www.hymncds.com/search?type=product&q=All+is+Vanity,Use accompaniment/instrumental only. Verify license before download or app redistribution.
All the Way my Saviour Leads Me,304,119,"""All the Way my Saviour Leads Me"" instrumental accompaniment SDA Hymnal",https://www.youtube.com/results?search_query=%22All+the+Way+my+Saviour+Leads+Me%22+instrumental+accompaniment+SDA+Hymnal,https://www.google.com/search?q=%22All+the+Way+my+Saviour+Leads+Me%22+instrumental+accompaniment+SDA+Hymnal,https://shop.hymnsforworship.org/?q=All+the+Way+my+Saviour+Leads+Me,https://www.hymncds.com/search?type=product&q=All+the+Way+my+Saviour+Leads+Me,Use accompaniment/instrumental only. Verify license before download or app redistribution.
All to Jesus I Surrender,50,50,"""All to Jesus I Surrender"" instrumental accompaniment SDA Hymnal",https://www.youtube.com/results?search_query=%22All+to+Jesus+I+Surrender%22+instrumental+accompaniment+SDA+Hymnal,https://www.google.com/search?q=%22All+to+Jesus+I+Surrender%22+instrumental+accompaniment+SDA+Hymnal,https://shop.hymnsforworship.org/?q=All+to+Jesus+I+Surrender,https://www.hymncds.com/search?type=product&q=All+to+Jesus+I+Surrender,Use accompaniment/instrumental only. Verify license before download or app redistribution.
Alleluia! Sing to Jesus!,320,,"""Alleluia! Sing to Jesus!"" instrumental accompaniment SDA Hymnal",https://www.youtube.com/results?search_query=%22Alleluia%21+Sing+to+Jesus%21%22+instrumental+accompaniment+SDA+Hymnal,https://www.google.com/search?q=%22Alleluia%21+Sing+to+Jesus%21%22+instrumental+accompaniment+SDA+Hymnal,https://shop.hymnsforworship.org/?q=Alleluia%21+Sing+to+Jesus%21,https://www.hymncds.com/search?type=product&q=Alleluia%21+Sing+to+Jesus%21,Use accompaniment/instrumental only. Verify license before download or app redistribution.
